company_name,also_known_as,hq_city,hq_country,founded_year,primary_layer,secondary_layers,vertical_subcategory,core_or_division,one_liner,total_funding_usd,last_round_size_usd,last_round_type,last_round_date,last_round_lead,team_size,source_url,verification,entity_type,status,notes,business_model,customers,revenue_status,technical_differentiation
Cortex AI,"Cortex Robot, cortexrobot.ai",San Francisco,US,2025,L3_data_infra,,,core,Builds large-scale real-world workplace robot and egocentric datasets for embodied AI via a marketplace where workplaces get paid to host egocentric-capture and robot-teleop sessions.,6000000,6000000,Seed,2025-12,500 Global,3,https://www.ycombinator.com/companies/cortex-ai,verified,company,active,"L3 Data Infrastructure: robotics-specific trajectory/demonstration data curation. Founded 2025 by Lucas Ngoo (Carousell co-founder/ex-CTO). YC Fall 2025 batch. Raised $6M seed (Dec 2025); 500 Global is named lead/investor per multiple sources (Tracxn cites 500 Global; LinkedIn posts from 500 Global and Tech in Asia confirm $6M). Builds egocentric human video (hand/body pose, depth, subtask labels) + robot trajectories from manipulators/humanoids in real industry settings + human-in-the-loop teleop rollouts. Operates Cortex Marketplace where workplaces are paid to host capture/teleop sessions. in_scope=true: demonstration-data service for robot learning, AI-native category. NOT in census per assignment.","Two-sided data marketplace: real workplaces are paid to host egocentric/robot data-collection and human-in-the-loop evaluation sessions, and Cortex sells the resulting in-the-wild datasets (egocentric human video with hand/body pose, depth, subtask labels; robot manipulator/humanoid trajectories) plus rollout/eval services to robotics buyers. Buyers are frontier robotics foundation-model labs and humanoid companies; pricing/contract terms (per-dataset, per-trajectory, or subscription) are not publicly disclosed.","Undisclosed. Publicly stated target buyers are frontier robotics foundation-model research groups and humanoid robot companies, but no named paying or piloting customers have been disclosed.","pre-revenue (raised ~$6M seed, YC F25; no public revenue/ARR figure)","Differentiates from data-labeling/annotation incumbents like Encord and Sama by sourcing proprietary real-workplace, in-the-wild egocentric and robot-trajectory data via a paid marketplace of physical worksites (plus a human-in-the-loop recovery/eval flywheel), rather than annotating client-supplied data; the marketplace-supply moat leverages CEO Lucas Ngoo's prior C2C marketplace experience (Carousell)."
"DataOcean AI (Beijing Haitian Ruisheng Technology Co., Ltd.)",海天瑞声; Haitian Ruisheng; Haitianruisheng; SH:688787,Beijing,CN,2005,L3_data_infra,L6_vertical,,division,"Listed AI training-data provider that built an embodied-intelligence data training field collecting real teleoperation/demonstration data across humanoid, multi-arm and quadruped robots for robot-learning developers.","undisclosed (public company, STAR Market IPO Aug 2021)",undisclosed,"IPO (STAR Market / SSE 科创板, SH:688787)",2021-08,undisclosed,unknown,https://caijing.chinadaily.com.cn/a/202508/18/WS68a2cb8ba3104ba1353fd60c.html,verified,company,ipo,"Founded 2005 in Beijing (Haidian District); one of China's earliest AI training-data providers; IPO on Shanghai STAR Market (科创板) under code 688787 on Aug 13, 2021. Rebranded English name to ""DataOcean AI"" in May 2025. Legacy business is speech/CV/NLP data labeling (out of robotics scope), but qualifies via dedicated embodied-AI offering: in Aug 2025 it co-launched a '具身智能数据训练场' (embodied-intelligence data training field) with the Shijingshan humanoid robot data training center (Shougang Park) and released what it calls China's first embodied-AI data engineering service platform. Collects real interaction data across single/multi-arm, humanoid, and quadruped bodies using head-ring/gripper rigs, mocap suits/gloves, and teleoperation cockpits — a teleoperation/demonstration data service, hence in_scope=true under L3 Data Infrastructure. 2024 revenue ~RMB 237M (+39%), net profit ~RMB 11.2M (returned to profitability). Team size not disclosed in summaries reviewed. Funding/round-size figures undisclosed beyond the public STAR Market listing. Assigned primary layer L3 with L6/6h_other secondary per task.","Sells AI training-data products and services on a per-project / dataset-license basis: data collection, annotation, design, and model evaluation across speech, computer vision, and NLP, plus ~1,800 off-the-shelf licensable datasets in 190+ languages/dialects. Buyers are AI/large-model developers and autonomous-driving/robotics firms; 2025 expansion added an embodied-intelligence ""data training field"" collecting real teleoperation/demonstration data sold as end-to-end robotics datasets. Gross margins historically >70%.","Named clients include Alibaba, Tencent, Baidu, ByteDance, iFlytek (科大讯飞), Hikvision, Microsoft, Amazon, and Samsung; cumulative customers exceed 1,200, with 70+ named autonomous-driving clients.","early-revenue (FY2024 revenue ~RMB 237M / ~$33M, +40% YoY, net profit RMB 11.3M turning profitable; H1 2025 revenue RMB 157M / ~$22M, +69.5% YoY with net profit +813.65%)","Only A-share-listed pure-play AI training-data provider; differentiates on breadth (190+ languages/dialects, ~1,800 standardized datasets) and a dedicated embodied-intelligence data-training field for real teleoperation/demo data, versus closest Chinese competitors Datatang (数据堂) and Testin/Yunce Data (云测数据), which lack public-market scale and the multilingual + robotics data-factory depth."
Datatang,"数据堂; Datatang (Beijing) Technology Co., Ltd.; 数据堂(北京)科技股份有限公司",Beijing,CN,2011,L3_data_infra,L6_vertical,,division,"AI training-data provider that built an 8,000 sqm real-scene data-collection factory to capture physical-world robot demonstrations, supplying real-machine embodied-intelligence training data plus collection/annotation services.",undisclosed,undisclosed,NEEQ public listing,2014-12,undisclosed,unknown,https://www.datatang.com/collection,verified,company,ipo,"Founded 2011, HQ Beijing (Kemao Tower). Listed on China's NEEQ / New Third Board (新三板, stock code 831428) since Dec 2014 — first AI-data-service company on NEEQ; as of Jan 2024 in IPO tutoring to move to the Beijing Stock Exchange (北交所), so status=ipo (publicly listed). Total funding and team size not publicly disclosed. In_scope=true: the embodied real-scene data-collection factory (8,000 sqm 实景数采工厂) is a robotics real-machine demonstration-data product that is AI-native (exists to train embodied-intelligence/VLA manipulation policies), not generic data labeling. Datatang itself does not run learned robot policies; it is a Layer 3 data-infrastructure supplier. Secondary L6 tag reflects the vertical robotics-data product (6h_other). Core business also covers autonomous-driving, speech, CV and NLP data, but those are out of the robotics-policy scope.","Sells AI training data via three lines: licensed off-the-shelf datasets (speech, image/video, text, biometric, autonomous-driving), custom data collection/annotation projects, and data-processing solutions, priced as per-project contracts and dataset licenses billed to AI/tech buyers. Newer push: an ~8,000 sqm real-scene ""data factory"" capturing real-machine robot demonstration data for embodied-AI customers.","Named top-five clients (2022 disclosures) include Baidu and Tencent, plus autonomous-driving firm Momenta (毫末智行, ~14% of sales) and Phantom AI (~5.8%); company stopped disclosing specific customer names after 2022.","scaling (¥236M revenue FY2023, +39% YoY, net profit ¥39.7M; H1 2024 revenue ¥88.8M, +45% YoY)","Differentiates on scale of accumulated licensed data assets (~800TB image/video, 200,000 hrs speech) and 5,000+ in-house annotators across multiple bases, versus pure-play data labelers like Appen and Scale AI; in embodied-AI data collection it is one of several Chinese entrants (alongside AgiBot/智元's 4,000 sqm factory and Pasini/帕西尼's super-factory) and is not clearly differentiated there - competing on execution and existing data infrastructure."
Elephant Robotics,"Shenzhen Elephant Robotics Technology Co., Ltd.",Shenzhen,CN,2016,L3_data_infra,"L4_hardware,L6_vertical",,core,Builds the myController S570 portable exoskeleton that captures bimanual motion data at 100Hz for teleoperation and end-to-end imitation-learning training of cobots and its Mercury humanoid.,undisclosed,undisclosed,Series A/Pre-B (sources conflict),2024-05,Qinghui Investment,unknown,https://www.elephantrobotics.com/en/mycontroller-s570-en/,verified,company,active,"Founded 2016, Shenzhen; incubated at HAX (SOSV) with SOSV seed funding. Qualifying L3 data-infra product is the myController S570 portable exoskeleton controller — a wearable 12-DOF (6 per arm), 570mm reach teleop rig that captures motion data at 100Hz, integrates with LeRobot, ROS1/2 and Python, and feeds end-to-end imitation-learning pipelines; also used as the exoskeleton to teleoperate/collect training data for its Mercury X1/humanoid. Company also sells generic cobots (myCobot, mechArm, etc.) and the Mercury humanoid — hence L4_hardware/L6 secondary tagging. In-scope: the data-capture/teleoperation-for-training-data category is AI-native (exists to feed learned policies). Most recent round ~2024-05; round classification conflicts across sources (Crunchbase lists a Series B-labeled URL, others Series A/Pre-B), lead Qinghui Investment with Yunzhuo Capital participating; amounts undisclosed publicly. Team size not reliably findable (Crunchbase/PitchBook gated). Other historical backers: SOSV, ZhenFund, Shenzhen Venture Capital, Orient Securities.","Hardware sales: designs and manufactures robotic arms, cobots, humanoids (Mercury series), and data-collection devices like the myController S570 portable exoskeleton (~$1,300 retail) sold direct via its online store and through distributors (RobotShop, US Robot Store, OpenELAB). Buyers are educators, researchers, and embodied-AI/robotics developers purchasing per-unit hardware rather than subscriptions.","Reports 500+ clients across 51 countries with annual shipments over 50,000 units; named buyer regions include the US, Korea, Japan, and Germany, and the company claims some Fortune 500 customers, but no specific paying org for the S570 line is publicly named (specific named orgs undisclosed).","early-revenue (~$19.4M revenue, third-party estimate via Growjo, unverified)","Differentiates in the Layer 3 teleoperation/data-capture niche by offering a low-cost (~$1,300), portable bimanual exoskeleton that captures 100Hz motion data with 12 high-precision (4096-resolution) sensors and integrates directly with its own affordable arm/humanoid ecosystem and open-source LeRobot LfD pipeline. Versus higher-priced Western data-collection rigs from competitors like ALOHA/Trossen Robotics and Galaxea/AgileX teleop kits, its edge is price and a vertically integrated hardware stack rather than proprietary algorithms."
Encord,Cord Technologies,London,GB,2020,L3_data_infra,L6_vertical,,core,"AI-native data development platform for managing, curating, labeling, and evaluating multimodal sensor data (video, LiDAR, telemetry) to train robot, drone, and AV perception and policy models.",110000000,60000000,Series C,2026-02,Wellington Management,150+,https://techcrunch.com/2024/08/13/encord-lands-new-cash-to-grow-its-data-labeling-tools-for-ai/,verified,company,active,"Founded 2020 by Ulrik Stig Hansen and Eric Landau (YC alum); dual HQ London (origin) and San Francisco. Total $110M across 5 rounds. Latest: Series C $60M led by Wellington Management (Feb 2026), ~$550M valuation; prior Series B $30M led by Next47 (Aug 2024). Platform handles images/video/audio/text/DICOM/LiDAR/telemetry; serves AV, robotics, and drone makers, positioned as a Scale AI rival in physical-AI data infra. Data infra (L3) is arguably the more precise primary layer than Simulation; included as secondary.","B2B enterprise SaaS: sells a multimodal AI data development platform (three products - Index for data curation/discovery, Annotate for labeling images/video/DICOM/LiDAR, and Active for evaluation) via annual custom-priced subscriptions with sales-led Team and Enterprise tiers (free Starter tier capped at 5 users). Buyers are ML/AV/robotics and medical-AI engineering teams; pricing is custom (not per-seat/per-annotation published), scaling with data volume, products, and company size.","300+ teams; named customers include Woven by Toyota, Skydio, Zipline, Maxar, AXA Financial, plus medical/research users Stanford Medicine, King's College London, and Memorial Sloan Kettering Cancer Center.","scaling (~$12.8M ARR reported for 2024 via Latka, unverified; company reported revenue grew 4x YoY as of Aug 2024 and physical-AI revenue grew 10x in 12 months as of the Dec 2025 Series C; near cash-flow positive). Total funding $110M across rounds, latest a $60M Series C led by Wellington Management.","Positions as an integrated ""data development"" platform unifying curation (Index), labeling (Annotate), and model evaluation (Active) with a focus on multimodal/physical-AI sensor data (video, LiDAR, telemetry, DICOM), versus Scale AI (services/workforce-heavy labeling) and Labelbox (labeling-centric tooling). Differentiation is the closed-loop curate-label-evaluate workflow and physical-AI/medical multimodal depth rather than pure annotation throughput."
Extend Robotics,AMAS (Advanced Mechanics Assistance System),London,GB,2019,L3_data_infra,"L5_middleware,L6_vertical",,core,"XR/VR teleoperation platform (works with Meta Quest, Vive on third-party arms) letting operators remotely manipulate robots while capturing demonstration data in a self-improving loop for robot learning.",~4260000,~430000,Seed,2025-11,Henley Business Angels,~16,https://www.extendrobotics.com/,verified,company,active,"London-based (some sources list Reading, UK, home of Henley Business Angels). Founded 2019 by Chang Liu. AMAS allows operators worldwide to control dexterous robots via VR headset (Meta Quest, HTC Vive) on third-party robot arms while capturing synchronized sensor/video/motion data for ML training. Total funding ~$4.26M (PitchBook); investors include Henley Business Angels, Grow London, Connected Places/Digital Catapult, Innovate UK, UK Space Agency, Britbots, Anglia Capital, High Growth Robotics. Latest round: ~£345k via Henley Business Angels (Nov 2025) plus a ~£500k Digital Catapult convertible loan; an earlier formal seed was Nov 2022. Round size/date for Nov 2025 are approximate (~£345k ≈ $430k). In scope: teleoperation/demonstration-data service for robot learning is AI-native. Sources: PitchBook (pitchbook.com/profiles/company/431196-49), Tracxn, Dealroom, Crunchbase, Henley Business Angels.","Sells its AMAS (Advanced Mechanics Assistance System) XR platform as a cloud SaaS subscription: operators use Meta Quest/Vive headsets to teleoperate third-party robot arms and humanoids while capturing manipulation demonstration data for AI training. Buyers are industrial enterprises (nuclear decommissioning, manufacturing, agriculture, logistics) and humanoid robot deployers; pricing is quote/contract-based and not publicly disclosed. Also acts as an official integrator for Unitree humanoids and supports paid pilots/grant-funded projects (Innovate UK, UK Space Agency, EU Vojext).","Named partners and pilot deployments include Leyland Trucks and Paccar Australia (truck-assembly automation trials), Saffron Grange Vineyard (grape harvesting), UK pharmacy/care-sector demos, plus integration partners Unitree, NVIDIA, SenseGlove and the Agri-OpenCore consortium and Open University 'Gatekeeper' project. Most appear to be trials/grant-funded projects rather than confirmed large paying contracts; specific paying customers are largely undisclosed.",early-revenue,"Differentiates on consumer-XR (Quest/Vive) immersive teleoperation that is hardware-agnostic across third-party arms and humanoids while simultaneously capturing demonstration data for imitation learning, versus teleoperation/data-collection peers like Kinova/AtkinsRealis (nuclear-specific, proprietary arms) and humanoid-data players such as the Boston Dynamics Spot/RAICo Sellafield programs. Positioning as a Unitree integrator and NVIDIA collaborator targets the humanoid demonstration-data niche, though it competes against well-capitalized teleop-data entrants."
Foxglove,"Foxglove Technologies, Inc.; formerly Foxglove Studio",San Francisco,US,2021,L3_data_infra,L5_middleware,,core,"Multimodal data and observability platform letting roboticists record, visualize, and manage sensor/training data (MCAP format) to accelerate training and deployment of physical-AI robots.",58000000,40000000,Series B,2025-11,Bessemer Venture Partners,50,https://www.therobotreport.com/foxglove-raises-40m-scale-data-platform-roboticists/,verified,company,active,"Founded 2021 by ex-Cruise engineers Adrian Macneil and Roman Shtylman (built similar internal AV tooling at Cruise). HQ San Francisco, CA. Funding history: Seed (Amplify), $15M Series A Oct 2022 led by Eclipse Ventures (angels incl. Kyle Vogt, Pieter Abbeel), $40M Series B Nov 2025 led by Bessemer Venture Partners with Eclipse and Amplify participating; total $58M+. Team ~50 (half engineers). Product: visualization/recording tooling and the open-source MCAP container format adopted by ROS 2 and NVIDIA Isaac, plus LeRobot integration and teleoperation stream visualization. In_scope=true: robotics-data-native (demonstration/training-data + sim/observability for robot learning); core category exists specifically to feed learned robot policies. Borderline as enhancement per prompt, but classified in-scope under default rule. Sources: The Robot Report, Business Wire, VentureBeat, Crunchbase, foxglove.dev/about.","Hybrid usage-based SaaS plus enterprise contracts for its multimodal robotics data/observability platform: a free tier, a Pro plan at $20/month + ~$42/developer seat, ~$20/device, and metered storage/query/bandwidth overages, and custom Enterprise contracts (dedicated support, air-gapped/on-prem deploys, forward-deployed engineers). Buyers are robotics/Physical AI engineering teams; the open MCAP logging format is free and drives adoption funneling into the paid cloud platform.","Named users/customers include NVIDIA, Amazon, Anduril, Wayve, and Dexterity (Dexterity reports ~$150K/year and 20%+ dev-time savings); platform cited as used by tens of thousands of developers.","scaling (no public revenue/ARR figure disclosed; raised $40M Series B Nov 2025 led by Bessemer, >$58M total since 2021)","Differentiates by authoring and stewarding the open MCAP multimodal logging standard (bundled by default in ROS 2 and NVIDIA Isaac), paired with a petabyte-scale data lake plus best-in-class robotics visualization, versus rerun.io (open-source multimodal visualizer, weaker managed data-platform/storage layer) and Roboto AI (robotics data management/observability but without an entrenched logging-format standard)."
Foxtech Robotics,"Foxtech, FOXTECH ROBOT, Foxtech UAV; legal entity Huixinghai Technology (Tianjin) Co., Ltd",Tianjin,CN,2010,L3_data_infra,L4_hardware,,division,"Sells ExoArm-7 wearable 7-DOF/arm exoskeleton (<20ms latency) for teleoperating robotic arms and capturing human-demonstration datasets for VLA and imitation/reinforcement learning, OpenArm-compatible.",unknown,undisclosed,unknown,unknown,unknown,unknown,https://www.foxtechrobotics.com/Exoskeleton-teleoperation-arm-collecting-demonstration-data-VLA.html,verified,company,active,"Foxtech is a Tianjin, China UAV/drone manufacturer founded 2010 by Jack Fu (drone-market entry, origins ~2007) operating across 55 countries. In 2025 it launched a robotics division (Foxtech Robotics / FOXTECH ROBOT) with embodied-AI products including the ExoArm-7 teleoperation exoskeleton, Agility A1/A2 OpenArm-based research arms, and dual-arm bimanual teleop kits. ExoArm-7: 14 DOF (7/arm), 14-bit absolute encoders, <20ms latency, ROS2/NVIDIA Isaac support, OpenArm-compatible, SDK included; explicitly marketed for collecting human-demonstration data for VLA, imitation and reinforcement learning. Classified L3 (data infrastructure / teleop-demonstration-data hardware) with secondary L4 hardware. In-scope: teleoperation/demonstration-data tooling is AI-native robot-learning infrastructure. Legal entity appears to be Huixinghai Technology (Tianjin) Co., Ltd; private company, funding undisclosed (no Crunchbase/VC rounds found). Marked as division because robotics is a 2025 sub-line of the larger Foxtech drone business. Founding year refers to parent Foxtech (2010); robotics line dates to 2025.","Direct hardware sales of robotics teleoperation gear through its online store (store.foxtech.com): the ExoArm-7 wearable exoskeleton controller is listed at $3,580 USD per unit, sold to robotics/AI researchers as a leader device for teleoperating arms and capturing human-demonstration data. Foxtech upsells companion hardware (OpenArm-based Agility A1/A2 follower arms and dual-arm platforms) plus an SDK, so revenue is per-unit and transactional with no recurring/SaaS component; the broader company also sells industrial UAVs/drones and UGVs.","Undisclosed at the named-org level. Marketed to and purchased by robotics/embodied-AI researchers, AI developers, and academic institutions (research labs, universities, robotics courses) for imitation-learning/VLA dataset collection; no specific paying or piloting organizations are named in public sources.","undisclosed (no public revenue or ARR figure for the robotics line; parent Foxtech is a privately held Tianjin, China UAV/drone maker operating since 2010 with no disclosed financials)","Differentiates on a 7-DOF (14-DOF dual-arm) wearable exoskeleton leader with <20ms latency and 14-bit absolute encoders, sold as a low-cost, open-source-compatible (OpenArm/ROS2/NVIDIA Isaac) teleoperation+data-capture bundle. Versus Stanford's open-source ALOHA/Mobile ALOHA puppeteering rigs and AgileX/Galaxea teleoperation kits, its edge is a commercially packaged ergonomic exoskeleton form factor with SDK rather than a leader-follower joint-copy arm; otherwise largely undifferentiated, competing on price, packaging, and open-hardware compatibility."
FrodoBots Lab,"FrodoBots, BitRobot, Earth Rovers",Singapore,SG,2022,L3_data_infra,L4_hardware,,core,"Crowdsources real-world robot teleoperation data via gamified low-cost sidewalk rovers ('Drive to Earn'), releasing open datasets and building BitRobot, a crypto-incentivized subnet network for embodied-AI research.",8000000,6000000,Seed,2025-02,Protocol VC,unknown,https://chainwire.org/2025/02/13/frodobots-lab-raises-8m-to-launch-bitrobot-a-crypto-network-of-subnets-for-embodied-ai-research/,verified,company,active,"L3 Data Infrastructure: demonstration-data network for robot learning. Released open FrodoBots-2K dataset (~2,000 hrs teleoperated sidewalk-robot data — camera, GPS, IMU, audio, human control — across 10+ cities). Co-developed BitRobot with Protocol Labs (Juan Benet), a Solana-based 'Bittensor for robotics' network of subnets to scale embodied-AI data collection across embodiments. Feb 2025 round was $6M seed led by Protocol VC (participation: Big Brain Holdings, Fabric Ventures, Zee Prime, Tioga, Sfermion, Solana Ventures, Virtuals Protocol; angels incl. Solana's Anatoly Yakovenko, Raj Gokal), bringing total to $8M. Cofounder: Michael Cho. Founded ~2022. Earth Rovers are low-cost ($250+) sidewalk robots; Earth Rover Challenge run with DeepMind researchers. Secondary L4 because it designs the rover hardware, but primary value is the teleoperation/demonstration-data network. in_scope=true: AI-native demonstration-data service for robot learning, would not exist without learned embodied policies. Team size not publicly disclosed.","Two revenue layers: (1) sells low-cost teleoperable sidewalk robots (Earth Rovers, and Octo Arms) to consumers/gamers at ~$149-$299 per unit, where each device doubles as a data-collection node; (2) monetizes the resulting real-world teleoperation data (video/audio/control/GPS, e.g. the FrodoBots-2K dataset) via licensing/API access, and is building BitRobot, a Solana-based crypto-incentivized DePIN network of subnets that rewards robot owners and data contributors ('Drive to Earn') to scale embodied-AI training data. Token/network economics (BitRobot) are intended to be the primary long-term monetization, not the thin-margin hardware sales.","No disclosed paying customers; data buyers are not publicly named. Research/usage partners include Google DeepMind and UC Berkeley (Earth Rover Challenge collaborators); the FrodoBots-2K open dataset has reportedly been used by teams at DeepMind, Meta, and UC Berkeley. Ecosystem partner: Yield Guild Games (YGG). These are collaborators/users, not confirmed paying customers - paying customers undisclosed.","pre-revenue (no public revenue/ARR figure; funded by ~$8M total raised - $2M pre-seed plus $6M seed led by Protocol VC, Feb 2025)","Differentiates on radically low-cost gamified data collection: ~$200 bill-of-materials sidewalk rovers (vs ~$5,500 for Starship Technologies) crowdsourced via 'Drive to Earn' gaming, yielding the largest public urban robot-navigation dataset (FrodoBots-2K, ~2,000 hrs). Vs DePIN/crypto-robotics peers it positions BitRobot as a 'Bittensor for Robotics' (multi-subnet, co-developed with Protocol Labs), distinguishing it from single-embodiment plays and from pure teleoperation-data labelers that lack a deployed consumer hardware fleet and token-incentivized network."
"Hangzhou Jinglianwen Technology Co., Ltd.",Jinglianwen Technology; 景联文科技,Hangzhou,CN,2012,L3_data_infra,L6_vertical,,division,Builds embodied-AI robot training data: full-scenario real-robot collection plus a heterogeneous platform compatible with mainstream robot protocols and AI-driven annotation for rapid multi-body onboarding.,undisclosed,undisclosed (tens of millions RMB; ~USD low tens of millions),Pre-A,2025-05,Fund under Hangzhou Jinyu (Jintou) Group,unknown,https://www.jinglianwen.com/ei.html,verified,company,active,"Hangzhou-based AI data company (est. 2012-04-24, Xiaoshan District; legal rep Zheng Xiaowei). Core business is general data collection/annotation (image, audio, text, video, 3D point cloud, multimodal) via self-developed SolarSense corpus platform; clients include Huawei, Alibaba, Hikvision. Qualifies for census via its dedicated embodied-intelligence robotics data product (ei.html): full-scenario real-robot (真机) data collection across home/hotel/retail/office/industrial scenes, multimodal capture (video, motion trajectory, pose, tactile), heterogeneous embodied-data platform compatible with mainstream robot comms protocols for rapid multi-body onboarding, AI-driven annotation, and ability to stand up 1000-person standardized collection teams. Two regional collection centers in Chongqing (Liangjiang New Area) and Guiyang (>10,000 sqm, 700+ stations per assignment brief). In-scope: teleoperation/demonstration data service for robot learning (AI-native), not general labeling. Pre-A round May 2025: ""tens of millions"" RMB, exact size undisclosed; for public-data operations and vertical annotation bases. Total funding and headcount not publicly disclosed. Robotics data is a division/product line, not the whole company.","Sells AI training-data services on a project/contract basis: scene setup, real-robot (""真机"") multimodal data collection (video, motion trajectory, posture, tactile), annotation, QC, and custom dataset production via its intelligent corpus engineering platform, plus pre-built structured datasets and a heterogeneous collection platform compatible with mainstream robot protocols. Buyers are large-model developers, robotics/embodied-AI firms, AI research institutions and government public-data programs, billed per bespoke data project/dataset (specific pricing undisclosed).","Reported to serve mainstream large-model vendors Alibaba, Huawei and Tencent, plus embodied-AI/autonomous-driving firms DJI and Great Wall Motor; customer base also spans government bodies and AI research institutions (1000+ customers claimed). Embodied-AI-specific named buyers are not separately disclosed.","early-revenue (no absolute figure disclosed; company states 2025 projected revenue growth of 400%+ YoY, unverified; closed tens-of-millions RMB Pre-A round led by a Hangzhou Jintou Group fund, May 2025)","Differentiates via a heterogeneous real-robot collection platform compatible with mainstream robot protocols spanning five physical scenarios (home, hotel, retail, office, industrial) with timestamp-aligned multimodal capture, plus a 27-province/52-country collection network and standardized equipment ops, versus pure-play data-labeling rivals like Stardust (星尘数据) and Appen-style firms that lean more on simulation or generic annotation. Edge is execution/scale and physical collection infrastructure rather than a unique proprietary algorithm."
HaptX,HaptX Inc.; formerly AxonVR; now a 1HMX brand,"Redmond, Washington",US,2012,L3_data_infra,"L4_hardware,L6_vertical",,division,"Makes microfluidic haptic gloves delivering realistic tactile and force feedback plus sub-millimeter motion tracking, used as teleoperation rigs to collect high-fidelity dexterous manipulation demonstration data for robot training.",61450000,12000000,Growth/Series B,2021-07,undisclosed,~35,https://haptx.com/use-cases-robotics/,verified,company,active,"Borderline scope case. HaptX (founded 2012 as AxonVR) is fundamentally a microfluidic haptic-glove hardware company that predates the robot-learning wave; gloves were originally a VR product. Increasingly positioned as a manipulation-demonstration teleop interface: HaptX Gloves G1 used by Sanctuary AI for ""teach by feel"" dexterous manipulation, and with Shadow Robot on the ANA-funded tactile telerobot. Marketed for imitation-learning data collection (sub-millimeter tracking, tactile/pressure data). In 2024 HaptX combined with manufacturing partner Advanced Input Systems and the entity adopted the name 1HMX; HaptX is now a 1HMX brand. 1HMX launched the Nexus NX1 turnkey teleoperation/data-capture rig (HaptX gloves + Virtuix Omni One treadmill + Freeaim shoes) in Nov 2025, pre-order with Q2 2026 shipping. Funding figures ($61.45M total, last disclosed $12M round July 2021) predate the 1HMX merger; current entity-level funding undisclosed. Assigned L3 Data Infrastructure but the product is primarily L4 hardware serving demonstration-data collection (L6). The hardware itself contains no learned policy; AI is downstream in customers' imitation-learning pipelines. Sources: Crunchbase, GeekWire (2021-07), haptx.com, Humanoids Daily / The Robot Report (2025).","Sells microfluidic haptic hardware - flagship HaptX Gloves G1 - to enterprise/government buyers for VR training, design, and robot teleoperation, priced as low as ~$4,500 per pair (up to ~$5,495 single pair) plus a mandatory recurring HaptX Subscription starting at $495/month for service, software (incl. ROS-node SDK for telerobotics), and maintenance. Revenue is hardware + subscription, sold via direct enterprise pre-orders and now bundled into the 1HMX/Nexus NX1 whole-body teleoperation rig.","""Dozens of Fortune 500 companies and government agencies"" deployed early Development Kits. Named: Shadow Robot and All Nippon Airways (ANA) consortium for the Tactile Telerobot teleoperation system; Verizon (also a strategic investor via Verizon Ventures). Nissan reported as a customer (unverified). Most named end-buyers remain undisclosed.","early-revenue (no audited figure; company cites ""tens of millions of dollars"" in G1 pre-orders and a ""multi-million-dollar customer response,"" unverified; ~$61M total raised through Series B)","Proprietary microfluidic skin delivering true displacement-based tactile feedback (hundreds of actuators per hand) plus force feedback and sub-millimeter tracking - more physically realistic than vibrotactile/tendon competitors like bHaptics and SenseGlove (Nova/DK1), and unlike Shadow Robot (a partner/integrator) HaptX supplies the human-side haptic interface itself."
