niche_id,niche_name,layer,mode,description,anchor_companies,skills_must_have,skills_nice_to_have,daily_work,entry_cost_money_min_gbp,entry_cost_money_comfortable_gbp,entry_cost_time,entry_barrier,revenue_source,revenue_floor_gbp,revenue_ceiling_gbp,revenue_floor_source,revenue_ceiling_source,time_window,risk_factors,upward_path,crypto_relevant
L2-EMP-03,仿真解决方案架构师 (Omniverse/Isaac/数字孪生),L2,employee,面向客户/合作伙伴，把Isaac Sim/Omniverse/数字孪生方案落地：搭场景、做集成、做赋能演示。偏DevRel+解决方案。,NVIDIA (Isaac/Omniverse); Duality AI (Falcon),Isaac Sim/Lab; OpenUSD; ROS2; Python+C++,3D内容; 客户演讲; 合作伙伴管理,周一对接客户需求; 周二-周四搭演示场景+集成机器人算法; 周五客户赋能/培训+反馈回NVIDIA产品线。,0,2000,3-9个月(需掌握Omniverse/USD栈),需Omniverse/USD专长+客户沟通,工资+股权,113400,281100,Glassdoor NVIDIA SA Omniverse est floor (converted from USD),jobright NVIDIA Sr SA Physical AI & Omniverse (converted from USD),now,Omniverse生态若收缩则需求下降,12-24月→解决方案主管 / 独立Omniverse顾问,false
L2-MICRO-01,世界模型/仿真环境微创业 (策略评测),L2,micro_startup,1-5人做世界模型或仿真环境，专门给机器人策略做训练与评测(如布料/装箱任务)，卖访问权或评测服务。,One Robot (YC),世界模型/仿真; 操作任务建模; 训练/评测基础设施,融资; RL; 增长,周一定研发优先级; 周二-周四搭仿真任务+评测管线; 周五对接客户/投资人+发demo。,2000,20000,6-12个月做出可演示产品,技术门槛高; 多为风投驱动、早期无收入,种子融资/早期合同(创始人工资),0,118100,早期无收入(YC种子前) — pre-revenue,种子期创始人薪~$100-150k proxy (converted from USD),6-12mo,大厂世界模型(NVIDIA Cosmos等)挤压; 技术风险高,12-24月→拿种子轮成为仿真/世界模型公司,false
L2-MICRO-02,制造业合成数据+仿真CV产品微创业,L2,micro_startup,1-5人，做面向制造业的合成数据+仿真CV产品，让客户少拍真实数据就能训缺陷检测/抓取模型。,Bucket Robotics (YC S24),合成数据生成; 仿真; 边缘CV部署,制造业领域知识; 销售,周一客户对接; 周二-周四生成数据+训练+部署边缘CV; 周五客户验收与迭代。,2000,20000,6-12个月,需CV+制造业know-how+早期客户,产品/项目收入,15700,157500,早期产品收入估 (converted from USD),小型垂直CV产品天花板估 (converted from USD),now,通用CV/基础模型蚕食定制合成数据需求,12-24月→垂直制造AI质检公司,false
L2-SOLO-01,自由机器人仿真工程师 (Isaac/Gazebo/ROS2),L2,solo,个人在Upwork接单，为客户搭仿真环境、URDF建模、做导航/操作仿真，也承接合成数据流水线。,Upwork (锚: ROS2 + Isaac Sim/Gazebo/Webots),ROS2; Isaac Sim/Gazebo; URDF/Xacro; Nav2/运动规划,域随机化; CV; 客户沟通,周一投标; 周二-周四搭仿真/建模/调参; 周五交付+录演示视频+复盘。,300,3000,1-3个月(建档案+案例),需作品集; 平台抽成; 较强GPU机器,自由职业合同,39400,126000,Upwork ROS $45-50/hr×~1000h (converted from USD),Upwork机器人$80-100/hr×~1600-2000h (converted from USD),now,AI辅助降低门槛压价; 仿真即服务平台化,12-24月→仿真工作室或入职平台(L2-EMP),false
L2-SOLO-02,SimReady/USD 数字孪生3D资产卖家,L2,solo,个人制作并在Omniverse/Unreal Fab/Unity商店出售物理就绪(SimReady)的USD 3D资产/场景，被机器人团队买去搭仿真。被动+定制收入。,NVIDIA Omniverse SimReady; Unreal Fab / Unity Asset Store,OpenUSD建模; USDPhysics属性; 语义标注; 模块化场景建模,材质/渲染; 自动化批量出资产,周一-周三建模+加物理/语义属性; 周四上架+写文档; 周五看销量、做定制单、更新热门资产。,200,2500,1-3个月(出第一批资产),需3D建模技能; 长尾被动收入起量慢,资产销售(88%分成)+定制,3900,69300,多数资产卖家被动收入很低 polycount (converted from USD),Fab 88%分成下可持续独立店营收 (converted from USD),now,生成式3D(文本生资产)冲击手工资产市场,12-24月→数字孪生资产工作室 / 接大厂定制合同,false
L2-SOLO-03,MuJoCo/Isaac Lab 插件与sim-to-real开发者,L2,solo,个人在GitHub维护MuJoCo/Isaac Lab插件、RL sim-to-real工具，靠GitHub Sponsors+赏金+咨询变现。,GitHub (MuJoCo-Warp / Isaac Lab),MuJoCo C API; MJCF; GPU物理(Warp); RL; sim-to-real,文档/教程; 维护社区,周一-周三开发/维护插件、处理issue与PR; 周四发布+写文档; 周五接咨询单、维护赞助页。,0,2000,3-9个月建立项目影响力,需深仿真/RL功底; 赞助收入起量慢,GitHub Sponsors+赏金+咨询,7900,37800,GitHub Sponsors低档~$800/mo (converted from USD),GitHub Sponsors顶档$4k/mo (converted from USD),now,官方工具覆盖插件功能; 纯OSS变现难,12-24月→被仿真公司招募 / 做付费工具,false
L3-SOLO-01-WEST,居家远程遥操作数据采集员 (西方),L3,solo,个人用VR/SO-ARM设备在家远程操控机器人采集演示数据，按demo计酬，喂给机器人训练。,SVRC Robotics Center; Claru,VR/遥操作设备操作; 抓放灵巧度; demo产出速度,数据质检; 多任务适配,周一领任务清单; 周二-周五按任务远程遥操作采集demo，自检合格率，提交结算。,400,2500,数天-2周(设备到位+培训),需VR/遥操作设备+稳定网络; 计件收入波动,按demo/时薪,15700,48800,SVRC居家VR $20/hr×part-time (converted from USD),$30/hr×2080h + 每accepted demo奖金 (converted from USD),now,仿真数据/低成本海外采集替代; 自动化数据生成,12-24月→遥操作数据工作室(L3-MICRO-01-WEST)或团队主管,false
L3-SOLO-01-CN,现场遥操作数据采集员 (中国数据工厂),L3,solo,在数据采集工厂现场穿戴遥操作/外骨骼设备，重复采集机器人演示数据，按场次/工时计酬。,DataOcean AI; Datatang; Lingyu (TeleAvatar),遥操作设备操作; 重复任务耐受; 标准化动作,质检; 设备维护,按工厂排班，每日多场次重复采集同类任务(每场约3小时)，现场质检后结算。,0,0,数天(入职培训),需就近数据工厂; 收入低、重复劳损,工时/场次工资,4700,9400,restofworld ¥149/$22每3小时场次 (converted from USD),restofworld 全职年化估 (converted from USD),now,采集自动化/仿真替代; 区域产能过剩压价,12-24月→数据工厂班组长/运营(L3-MICRO-01-CN),false
L3-SOLO-02,机器人演示数据集制作与销售,L3,solo,个人用自有SO-ARM100/ALOHA录制演示数据集，在HF Hub或数据市场(DeepAware)按集/授权出售或拿赏金。(合并'录制者'与'市场卖家'),Hugging Face Hub; Robotics Center / DeepAware AI,SO-ARM组装; lerobot-record; episode质检; 授权/许可选择,数据集打包/文档; 质量评分优化,周一选高需求任务; 周二-周四录制+质检+打包; 周五上架/定价/选授权并跟进买家。,200,1500,2-4周(组装设备+首个数据集),需自购机械臂; 市场需求与定价不稳定,数据集销售/赏金,2000,31500,社区数据集多为免费→赏金/¥4/episode (converted from USD),批量按集销售估算 DeepAware/roboticscenter (converted from USD),now,数据集供给激增压价; 大厂自建数据,12-24月→微型数据工作室(L3-MICRO-01),false
L3-SOLO-03,第一视角演示视频 零工采集员,L3,solo,个人戴头戴相机/手机，在家庭/工厂/零售场景采集第一视角(egocentric)操作视频，按小时/任务计酬，喂给具身学习。,Awign; Mecka AI; DoorDash Tasks,可穿戴相机采集; 任务执行; 基本取景,多场景适配; 上传/标注配合,按派单在指定场景完成日常任务并录制第一视角视频，当日上传并通过质检结算。,0,200,数天(报名+设备),区域可用性; 时薪低(尤其新兴市场),零工时薪,3900,15700,Awign ₹250-400/hr(~$2.6-4.2) (converted from USD),西方Mecka/DoorDash零工估 (converted from USD),now,供给充足、单价低; 数据饱和后需求下降,12-24月→采集班组主管(L3-MICRO-03),false
L3-SOLO-04,加密遥操作/Drive-to-Earn 数据操作员,L3,solo,个人通过去中心化协议远程操控机器人/路面小车赚取代币与积分(PrismaX质押+遥操作; FrodoBots驾驶赚取)。,PrismaX ($PIX); FrodoBots Lab / BitRobot,标准化遥操作/远程驾驶; 钱包/质押操作; 速度+准确率,加密生态理解; 多账户管理,每日完成遥操作/驾驶任务赚积分与快返奖励，管理质押与钱包，关注TGE进展。,0,250,数天(注册+设备/租车),代币未TGE、现金价值高度不确定; 设备/租车成本,代币/积分(投机),0,2800,"PrismaX目前仅积分、$PIX未上线 — speculative, pre-TGE",FrodoBots 1 TC=$1/hr代理 — speculative (converted from USD),6-12mo,代币归零/项目失败; 监管; 奖励稀释,12-24月→遥操作公会运营(L3-MICRO-04),true
L3-SOLO-05,加密激励数据标注员 (Codatta),L3,solo,个人在区块链数据协议上标注/验证数据(含机器人轨迹/地址元数据)，按质量分获积分与持续版税(版税模型)。,Codatta ($XNY / Metis),数据标注; 领域知识; 共识验证,加密钱包; 数据质量优化,每日领取标注任务、提交并参与共识验证，积累积分与版税，跟踪代币活动。,0,0,数小时(注册即开始),收益高度不确定; 代币价值低($XNY≈$0.0083),代币/积分/版税(投机),0,500,积分/版税模型、人均提交少 — speculative,600M $XNY 12周池分摊、单人份额小 — speculative (converted from USD),6-12mo,代币归零; 奖励池稀释; 协议失败,12-24月→标注社区运营/版税资产积累,true
L3-SOLO-06,自由动作捕捉采集师 (Rokoko/Xsens),L3,solo,个人用Rokoko/Xsens动捕套装+手套，在Fiverr/Upwork接单采集人体演示动作并清理导出，供机器人/动画使用。,"Fiverr/Upwork (锚: Rokoko, Xsens)",套装标定; 全身+手指捕捉; FBX导出/清理,角色重定向; 动画后期,周一接单沟通; 周二-周四标定+采集+清理数据; 周五交付+复盘+维护作品集。,2400,3200,2-4周(设备到位+样片),动捕套装+手套约$3-4k起步资本,按单/时薪,15700,94500,Fiverr $200/单×适度量 (converted from USD),$75-120/hr清理采集×~1000-1600h (converted from USD),now,无标记视频动捕(纯CV)替代套装,12-24月→动捕即服务工作室(L3-MICRO-02),false
L3-SOLO-07,自由数据标注/打标承包人,L3,solo,个人在Upwork等接机器人多模态数据(视频/深度/力)标注与质检单，按时/按件计酬。,"Upwork (锚: micro1, Scale AI)",图像/视频标注; 标注质检; 标注工具,3D/LiDAR标注; 脚本自动化,周一接单; 周二-周五批量标注并自检; 周五结算并争取长期客户。,0,200,数天-2周,入门门槛低→竞争激烈、压价,按时/按件,14200,78700,ZipRecruiter数据标注$9-25/hr (converted from USD),高端$54/hr×~1800h或按件专项 (converted from USD),now,自动标注模型替代基础标注; 低价竞争,12-24月→标注质检主管(L3-EMP-03)或微型标注厂(L3-MICRO-05),false
L3-MICRO-01-WEST,微型遥操作数据工作室 (西方),L3,micro_startup,1-5人用几台SO-ARM/遥操作机位，按合同批量采集演示数据卖给实验室/数据公司。,卖给 SVRC / Cortex AI / 实验室,多机位运营; 产能排程; 金标准demo设计,数据质检自动化; 客户BD,周一接合同定任务; 周二-周四多机位采集+质检; 周五交付批次+对账+谈新单。,3000,20000,1-3个月(设备+流程+首单),需多套设备+稳定客户; 现金流前置,按集/批次合同,2000,94500,"roboticscenter 单批pilot $2,500 (converted from USD)",多个$20-35k批次合同/年 (converted from USD),now,低成本海外采集+仿真替代; 客户自建,12-24月→区域数据采集公司,false
L3-MICRO-01-CN,机器人数据采集工厂运营 (中国),L3,micro_startup,运营一个实体数据采集场(数十工位)，组织工人批量采集遥操作/演示数据，按集卖给机器人公司。比西方工作室规模更大、单价更低。,DataOcean AI; Datatang; Integer Intelligence,场地与工位运营; 工人招募排班; 批量质检; 客户合同,政府补贴对接; 供应链,管理多班次工人采集，按SOP质检入库，按合同向机器人厂交付大批量数据。,40000,200000,3-9个月(场地+设备+用工),资本/场地/用工门槛高; 偏小企业非纯个人,按集大批量合同,23600,236200,restofworld 小型中心运营估 (converted from USD),restofworld 中型中心合同估(UBTech向中心售$80M为产业上限) (converted from USD),now,区域产能过剩压价; 采集自动化,12-24月→区域龙头数据供应商,false
L3-MICRO-02,动作捕捉即服务 精品工作室,L3,micro_startup,1-5人自有Rokoko/Xsens动捕棚，承接定制人体动作采集+清理交付，服务机器人/游戏/影视客户。,"Fiverr/Toptal (锚: Rokoko, Xsens)",棚内采集; 清理流水线; 重定向; 客户交付,场地; 角色绑定; 销售,周一-周二排片+布棚; 周三-周四采集多项目; 周五清理交付+谈新项目。,3200,20000,1-3个月(棚+样片+客户),设备+场地资本; 客户开发,按场/按项目,18900,157500,"$2,000/场×~1场/月 mocaponline (converted from USD)",$15-30k/项目×多项目 mocaponline (converted from USD),now,无标记视频动捕降低棚需求,12-24月→区域动捕/数据服务公司,false
L3-MICRO-03,第一视角采集 班组运营/外勤主管,L3,micro_startup,招募并管理一队戴可穿戴相机的零工，组织在工厂/家庭/零售批量采集第一视角数据，赚取量产中的服务差价。,Awign; Mecka; Human Archive,队伍招募; 外勤物流; 采集质检; 头戴设备适配,多城市运营; 数据平台对接,招募/排班工人，部署到现场采集，做质检与上传管理，按4K视频量与平台结算并扩队。,2000,15000,1-3个月(组队+首批合同),需人力网络与外勤管理; 单价薄靠量,量产服务差价,31500,236200,Awign队伍管理估、工人₹250-400/hr (converted from USD),Awign 1000+小时/日 4K量产差价 (converted from USD),now,数据饱和后需求降; 平台直招绕过中间人,12-24月→区域数据采集服务公司,false
L3-MICRO-04,加密遥操作公会运营 (PrismaX),L3,micro_startup,组建并质押一个遥操作公会，招募与调度操作员，从其产出的积分/快返奖励中分成。,PrismaX ($PIX),公会组织; 质押管理; 操作员协调; QRB优化,加密社群运营; 多账户/反作弊,招募/培训操作员，管理质押与任务路由，监控产出与奖励，分配收益并扩员。,0,4000,数周(组队+质押),代币未TGE、收益不确定; 需社群与资本质押,公会分成(投机),,,pre-TGE，无确定现金收益 — speculative (n/f),PrismaX a16z背书$11M规模为参照 — speculative (n/f),6-12mo,代币归零; 项目失败; 监管,12-24月→去中心化数据网络运营方,true
L3-MICRO-05,标注/质检 微型供应商,L3,micro_startup,1-5人小型标注厂，承接数据平台分包的机器人多模态标注与质检，做交付与人员培训。,Scale AI / Encord / Objectways,标注流水线管理; 质检主管; 客户交付; 标注员培训,3D/LiDAR标注; 工具搭建,周一接分包定SOP; 周二-周四组织标注+质检; 周五交付+对账+培训新标注员。,1000,10000,1-2个月(组队+首单),需客户分包关系; 利润薄,分包合同,23600,118100,质检主管劳力~$45/hr基准估 (converted from USD),小型标注厂分包营收估 (converted from USD),now,自动标注替代; 低价区域竞争,12-24月→区域标注服务公司或专精某模态,false
L3-EMP-01,远程遥操作操作员 (受雇),L3,employee,在遥操作即服务公司做受雇操作员，用VR/XR远程操控机器人采集数据或处理边缘案例。,Adamo; Claru; Sensei; Extend Robotics,VR/XR遥操作; 触觉手部追踪; 故障排查; 操作灵巧度,多机型适配; 轮班耐受,按班次远程遥操作机器人采集/接管，记录会话，处理异常并交接。,0,0,数天-2周(入职培训),需稳定网络; 计时/轮班; 部分要求现场,工资(时薪),29100,59100,WFH机器人操作员中位~$17.63/hr年化 ZipRecruiter (converted from USD),遥操作$25-75/hr上端 ZipRecruiter (converted from USD),now,自主化提升减少人工接管; 离岸低薪竞争,12-24月→操作主管/数据运营(L3-EMP-02),false
L3-EMP-02,数据运营经理/人类数据策略师,L3,employee,在数据公司管理标注项目、优化数据质量、培训标注员、对接客户，确保机器人数据交付。,Encord; Scale AI,标注项目管理; 数据质量优化; 标注员培训; 客户沟通,脚本/工具; 行业领域知识,周一定项目计划; 周二-周四监控质量+协调标注队伍+客户对齐; 周五复盘指标+改进SOP。,0,500,0-3个月(有运营/PM经验),需PM/运营经验; 非纯入门岗,工资+股权,69600,129900,Salary.com Surge AI Data Ops 25th $88.4k (converted from USD),Salary.com Surge AI Data Ops 75th $165k (converted from USD),now,标注自动化缩减团队规模,12-24月→数据运营总监 / 自营标注厂(L3-MICRO-05),false
L3-EMP-03,机器人数据标注员/视频审核员 (受雇),L3,employee,在数据引擎公司做受雇标注员，审核遥操作轨迹、多视角视频并打标。,micro1 Data Engine; Scale AI,视频审核; 遥操作轨迹标注; 多视角标注,3D标注; 质检,按队列审核与标注视频/轨迹，按规范打标并自检，达成日产量。,0,0,数天(培训),入门门槛低; 收入偏低,工资(时薪),24400,62200,Glassdoor Data Annotator ~$15/hr年化 (converted from USD),Glassdoor 75th ~$38/hr年化 (converted from USD),now,自动标注替代基础岗,12-24月→标注质检主管/数据运营(L3-EMP-02),false
L3-EMP-04,数据贡献者招募/社区运营,L3,employee,为数据公司招募、筛选、培训标注员与操作员，扩大全球数据贡献者网络。,micro1; Scale AI; DoorDash Tasks,招募/sourcing; 筛选与onboarding; 培训; 网络扩张,多语种; 增长运营,周一定招募目标; 周二-周四sourcing+面试+onboarding; 周五看留存与产能、优化漏斗。,0,0,0-3个月,需招募/运营经验,工资+股权,39400,86600,通用科技招聘专员Glassdoor低端proxy (converted from USD),科技招聘专员高端proxy (converted from USD),now,AI自动招募(micro1 Zara)替代部分人力,12-24月→社区/运营负责人,false
L3-EMP-05,数据平台/数据基建工程师 (机器人),L3,employee,为机器人多模态数据平台建基础设施：数据入库、检索、可视化、ML流水线工具。,Foxglove; Scale AI,多模态数据基建; ML流水线; 数据检索/可视化工具,MCAP/ROS bag; 云/分布式,周一排期; 周二-周四开发数据平台功能/工具; 周五评审+发布+支持内部用户。,0,1500,3-6个月(有数据工程背景),需软件工程能力(非必须博士),工资+股权,90600,161400,levels.fyi机器人SWE低端$115k (converted from USD),levels.fyi Open Robotics $205k (converted from USD),now,通用数据平台替代专用工具,12-24月→资深/平台lead或转L5中间件,false
L4-EMP-01,人形机器人操作员/数据采集飞行员,L4,employee,穿戴遥操作/动捕设备操控人形机器人采集训练数据，按SOP执行、记录失败、上传。明确接受高中学历起步。,Figure AI; 1X Technologies; Apptronik,遥操作/动捕设备穿戴; 按SOP执行; 数据上传/标注; 体力(举重/久站),多机型; 故障记录,按班次穿戴设备引导机器人完成行为采数，标注会话，开失败工单，布置环境。,0,0,数天-2周(培训),需就近实验室; 体力要求; 多为现场,工资(时薪),40900,65400,Figure Operator JD $25/hr年化 Greenhouse (converted from USD),Figure Pilot JD $40/hr年化 Greenhouse (converted from USD),now,自主化/仿真数据减少现场采集需求,12-24月→操作主管/数据运营/测试技术员(L4-EMP-02),false
L4-EMP-02,机器人装配与测试技术员,L4,employee,按流程装配机器人子组件、用示波器/万用表做带电测试与硬件QA，记录缺陷。非博士路径。,Apptronik,程序化装配; 示波器/万用表测试; 硬件QA; 缺陷记录,焊接; 机械/电子基础,按工单装配子组件，bring-up测试与QA，记录并上报缺陷，配合工程迭代。,0,0,数周(在职培训),需就近工厂; 动手能力,工资,37500,54400,Glassdoor assembly&test technician 低端 (converted from USD),Glassdoor assembly&test technician 高端 (converted from USD),now,产线自动化; 量产外包至低成本地区,12-24月→测试工程师/产线主管/现场服务(L4-EMP-03),false
L4-EMP-03,机器人现场服务工程师,L4,employee,到客户现场安装、标定、诊断、维修机器人(如Spot/Stretch)，提供客户支持。,Boston Dynamics,现场安装/标定; 诊断维修; 客户支持; 出差,电气/机械; ROS基础,按派单到现场安装标定、诊断维修、培训客户，回传问题与备件需求。,0,500,0-3个月(有电气/机械经验),需技术经验; 频繁出差,工资+股权,63000,85800,Boston Dynamics FSE JD floor $80k Glassdoor (converted from USD),Boston Dynamics FSE JD ceiling $109k Glassdoor (converted from USD),now,远程诊断/自诊断减少现场需求,12-24月→现场服务主管/应用工程师,false
